Date,Open,High,Low,Close
28-02-2006,211.88,213,208.75,212.6
01-03-2006,212.5,218.18,210.91,217.52
02-03-2006,218.18,219.25,215.04,217.73
03-03-2006,217.75,217.75,212.17,213.22
06-03-2006,214.5,219.13,213.75,218.04
07-03-2006,217.52,218.75,215,215.59
08-03-2006,216.5,217.5,213.13,215.32
09-03-2006,215,216,211.25,215.61
10-03-2006,211.5,221.88,211.25,220.46
13-03-2006,221.73,230.95,221.73,228.57
14-03-2006,228.11,228.46,223.89,225.4
16-03-2006,227.13,229.99,225.79,229.43
17-03-2006,230,235.06,230,232.63
20-03-2006,234.25,239.38,233.19,238.5
21-03-2006,238.5,241.88,237.33,239.4
